protein,degree,eigenvector,katz,page rank,betweenness,subgraph,closeness
80,4.0,0.006613899789630834,0.058027850796872615,0.0011675001034189996,3.7396312998750744e-05,83874083.41702507,0.35499398315282793
81,22.0,0.07951377138900942,0.05813262504137652,0.004346013209658101,0.000836778750335517,12130269080.212435,0.42877906976744184
82,24.0,0.05932666067338328,0.05814421714342328,0.002942806039614397,0.0030390958814179594,6751625131.331673,0.44832826747720367
83,25.0,0.06652805779532377,0.058150023436664255,0.003059249552353751,0.004336743825670465,8485352914.823371,0.4580745341614907
84,18.0,0.04063899384988462,0.05810929395267841,0.0026189960875322928,0.002648099518048377,3166247251.24326,0.4338235294117647
85,36.0,0.09574709620888883,0.05821399951488127,0.005232042322046202,0.008435639264523332,17582001971.2081,0.46677215189873417
86,33.0,0.10110758488916805,0.058196595298601425,0.0036730428135531195,0.00533946900788255,19599862625.94725,0.472
87,27.0,0.08986627272046252,0.05816168667947839,0.003453583202015038,0.002758291742753762,15493945129.25979,0.44227886056971516
88,10.0,0.023991077269236667,0.05806277221302519,0.0015842703771817195,0.0007877448200964915,1103458128.7925394,0.4154929577464789
89,7.0,0.012416162889771772,0.05804529638590881,0.001145650319775294,0.0008070598848699814,295645848.0546657,0.38562091503267976
90,5.0,0.011073309895030387,0.05803366582630015,0.0011398650283204058,0.0002675570542013257,235087510.41334388,0.3767560664112388
91,8.0,0.01744826901582496,0.058051132336778104,0.0015769900660431266,0.00013388218993988475,584197585.2062607,0.38866930171277997
92,26.0,0.06119269627941905,0.05815584133476655,0.005619050144666231,0.0020012578962423726,7192087171.079906,0.43703703703703706
93,20.0,0.026959393189037277,0.058120821548522224,0.003497976622124285,0.0050825098910268415,1393401522.7080653,0.43255131964809385
94,1.0,0.004139849506088183,0.05801040874716019,0.0005435189353348543,0.0,32866321.909299903,0.3303471444568869
95,15.0,0.02706153186215895,0.058091785541544386,0.002668073235788887,0.003095138033916275,1404600172.7883952,0.4068965517241379
96,1.0,0.004609519260371078,0.05801041572708391,0.000538955704984399,0.0,40737336.04943295,0.3394706559263521
97,21.0,0.04678424322447548,0.05812674130859227,0.006049250843630822,0.0004354639838586641,4207873705.2463107,0.40027137042062416
98,33.0,0.08351002463858354,0.05819656788499649,0.006314582034148519,0.004316518238543702,13381506388.71861,0.45038167938931295
99,20.0,0.03731446796028952,0.05812090472715514,0.0027386198041636184,0.002832418352312539,2670627125.75642,0.43833580980683506
100,21.0,0.051124015519417046,0.05812675702354248,0.005135946990906163,0.0009993664659729488,5018993331.6345415,0.42142857142857143
101,30.0,0.09977877722366808,0.05817914099605846,0.007586363090214954,0.0037469935435249873,19102476105.534042,0.43833580980683506
102,13.0,0.029250731659952813,0.05808023289566648,0.001839813594264118,0.0009668518032043654,1641349110.6343338,0.427536231884058
103,28.0,0.06352511797256521,0.05816746664612035,0.003780090089359867,0.005445227872120755,7737442947.410442,0.46529968454258674
104,18.0,0.05264162313206748,0.058109312050514964,0.0025008371820520077,0.0022584646905555567,5313505648.766978,0.43703703703703706
105,17.0,0.030354093193794694,0.05810344694277095,0.0030240324613251476,0.005016952296469216,1767788507.9234486,0.4306569343065693
106,28.0,0.06683621447991782,0.0581674736640371,0.003445459381213133,0.003683556982650721,8575696859.199636,0.44360902255639095
107,19.0,0.043655703200035895,0.05811510546412787,0.0032914820085793097,0.0012077097713331251,3654469223.48482,0.43128654970760233
108,7.0,0.015525788260143893,0.05804529640006193,0.0013858653753831642,0.0005901428869658115,462179774.09600306,0.3841145833333333
109,3.0,0.00430428888733501,0.05802202302853612,0.0011055521543281294,0.0005698792528032005,35530564.74901038,0.3503562945368171
110,6.0,0.017680751025085463,0.05803950293198273,0.0008939525551751781,0.000205616926747825,599411879.2061584,0.39176626826029215
111,37.0,0.1188731961742581,0.05821985415047752,0.006974081805792028,0.004510108078076576,27110822269.52184,0.456656346749226
112,11.0,0.026674670366627778,0.058068566884177504,0.0013253801620254438,0.0009847139297026145,1364156649.9187026,0.41086350974930363
113,18.0,0.02520732111955495,0.05810921830408471,0.0036434306540897433,0.004053236341144021,1218846055.893665,0.4220314735336195
114,10.0,0.017051885587255285,0.05806272801933187,0.0016814466249466795,0.0012928684005966138,557837209.5834814,0.38461538461538464
115,33.0,0.10071489909585617,0.058196591184510225,0.003686477962256731,0.006773952246496297,19454015141.416916,0.4704944178628389
116,17.0,0.02759178587264159,0.058103413197501536,0.00331261666620204,0.0039505976189106035,1459558174.4246602,0.4263005780346821
117,28.0,0.0672380408667062,0.05816747655655173,0.0033379712170474615,0.0050050559976882805,8668807645.201712,0.4697452229299363
118,29.0,0.06304416898438549,0.05817325435295216,0.004997747091817461,0.002153972831761553,7634943877.355043,0.43446244477172313
119,18.0,0.023275340179937584,0.05810919912399861,0.004358744263598116,0.004925912318003704,1039014165.9543196,0.4052197802197802
120,4.0,0.012851731906986227,0.058027868284558935,0.001112095458873087,5.4922293791311104e-05,316672558.341882,0.371536523929471
121,5.0,0.009335126766520058,0.058033668136448766,0.0007893668012834219,0.00019389298768724905,167202447.97186068,0.37341772151898733
122,19.0,0.032755905102983936,0.058115079250405786,0.002636290426883108,0.0043274841773864375,2059035186.4276257,0.44029850746268656
123,9.0,0.013718909959243963,0.058056904287592456,0.0011841729198970993,0.00040506891932871896,360916443.918785,0.37869062901155326
124,5.0,0.013711275414151727,0.058033692569430084,0.0012133257290525526,0.00011153343333350464,360495854.80149627,0.38713910761154857
125,2.0,0.002910498884901107,0.05801621326325669,0.0006687296536745808,7.661894719615567e-06,16259482.465488255,0.3281423804226919
126,2.0,0.002577293820496285,0.05801621093199441,0.0008200189700386697,0.0002560241807539093,12736034.861829625,0.3359908883826879
127,5.0,0.007641264059003601,0.0580336477917466,0.0010414723038676822,0.0004960453911538813,111962964.14922953,0.3655514250309789
128,2.0,0.004616147845617465,0.05801621211151764,0.0006765489158690248,6.096460605752178e-05,40879569.46085834,0.3277777777777778
129,1.0,0.003724406863924691,0.058010405258474416,0.0005563619067481911,0.0,26604123.179421254,0.3231106243154436
130,28.0,0.0574988409843207,0.058167407359053964,0.00453460646298781,0.006355712353964566,6348133147.010894,0.44227886056971516
131,20.0,0.04090275363723509,0.05812092975114518,0.003824945301727898,0.002444400650511073,3208915799.9613633,0.4462934947049924
132,31.0,0.06744106253424464,0.05818488317810772,0.005582868189584365,0.00621891881571936,8733268554.135647,0.444947209653092
133,26.0,0.07904422099733587,0.05815587859395373,0.0033531139063447428,0.004084113419482887,11979048582.773159,0.46529968454258674
134,41.0,0.12273833040217795,0.058243130425886865,0.006571942431834026,0.009236516811823432,28882291827.288403,0.49248747913188645
135,20.0,0.03792437092200568,0.058120872801141525,0.0052383305595107834,0.0029681286559556084,2763086872.4594173,0.4068965517241379
136,34.0,0.10533446323679463,0.05820240971323836,0.006696130289818471,0.011970161889386847,21276353355.145954,0.4765751211631664
137,30.0,0.08251008830679121,0.05817911185409091,0.003634269294007992,0.007017100634904426,13052385962.954695,0.472
138,39.0,0.10207697416080082,0.058231459042477264,0.004825249832602671,0.012260107227696836,19979693566.314922,0.4900332225913621
139,16.0,0.022382304307217857,0.05809760342015714,0.005424077666176162,0.0017010984616713054,961063517.1105484,0.41143654114365413
140,3.0,0.002015136337071571,0.05802201254786166,0.0008417076102336519,0.0,7792202.514532999,0.31517094017094016
141,4.0,0.0006418568785514145,0.058027804851672846,0.0014506749070793035,0.0,789972.3145615757,0.29092702169625245
142,24.0,0.07071849789924009,0.05814423926869219,0.003986781219636856,0.003862036812259528,9588593913.55975,0.4675118858954041
143,8.0,0.015201815283190468,0.058051127078372455,0.0021858347275433387,0.0002947457338065462,443451518.61776304,0.39228723404255317
144,31.0,0.0633432880338136,0.058184842432670955,0.007338041205744811,0.016024100229684427,7692694749.003924,0.4580745341614907
145,24.0,0.055894187334503444,0.05814420316791457,0.005348361465461328,0.003946210323169023,5992348580.645964,0.45950155763239875
146,19.0,0.04499710185979805,0.058115113037844536,0.002614051817751581,0.0030123809911576068,3881910034.060009,0.444947209653092
147,39.0,0.09011524091468469,0.05823145146423623,0.005332682532707372,0.008305988236544404,15588771741.44518,0.4773462783171521
148,25.0,0.05650742887810862,0.05815000887356911,0.0028264931731680322,0.003307094457785909,6127692517.041666,0.44764795144157815
149,18.0,0.04014545930087411,0.05810927712618635,0.0021411766386116153,0.001994745430498863,3092130110.556322,0.41725601131541723
150,20.0,0.03894874169638296,0.058120906474543266,0.003138303460419101,0.0030004645166939736,2908665227.0954304,0.4510703363914373
151,17.0,0.02625971295743642,0.05810342483513544,0.0032134268066085193,0.001285558227432758,1322612509.5426645,0.41316526610644255
152,14.0,0.025853378221094903,0.05808599499875242,0.001958717242989813,0.0025294145786712205,1282160459.5665905,0.4024556616643929
153,3.0,0.004424359197687285,0.058022021864442094,0.000732856060629948,9.043730691791123e-05,37528342.09077706,0.34342258440046564
154,5.0,0.002936408731977549,0.05803361870267923,0.0011425899153159071,0.0007221853916517391,16541525.071396153,0.3426248548199768
155,47.0,0.14681747593509656,0.058278029185332536,0.007946295995957956,0.010228353369435346,41349611670.06677,0.4957983193277311
156,24.0,0.07282590361052972,0.05814420269332106,0.0026112589311506804,0.009134182120282096,10172198943.166672,0.4462934947049924
157,19.0,0.04111913372173953,0.05811508452209449,0.007143680231165928,0.0015820271736189768,3242930984.027891,0.4125874125874126
158,25.0,0.05242181472187747,0.05814997335208327,0.005591550816342271,0.004254588752194952,5269569173.342352,0.44360902255639095
159,15.0,0.03204938076257586,0.058091830375840356,0.003090587316749937,0.0006084484497485085,1972423430.023785,0.40027137042062416
160,31.0,0.07086853471787315,0.0581848890086706,0.0035229433282932543,0.008009466946919262,9629100864.849499,0.4660347551342812
161,30.0,0.07545199006681762,0.05817907461126102,0.006020727220871944,0.010048816869074571,10914667757.622202,0.4742765273311897
162,19.0,0.05048199384445776,0.058115117730183456,0.002239995308492698,0.0023289394975065866,4885728957.554071,0.4363905325443787
163,21.0,0.05427765395602923,0.0581267076233576,0.0032490566569030946,0.005796738423175488,5650676828.370977,0.4416167664670659
164,20.0,0.05786055132291917,0.05812092810973143,0.005254102401482462,0.0035083305258274775,6419971765.136149,0.4238505747126437
165,10.0,0.024446854678878447,0.05806276930357322,0.0015888121381812878,0.000916138005063071,1145789293.2879324,0.41086350974930363
166,13.0,0.0180315815794862,0.058080151460071346,0.0019801699962970765,0.0029757615059812295,623477566.0749167,0.41725601131541723
167,11.0,0.029097406684415517,0.058068594208687395,0.0022323802351489285,0.0005707781085584583,1623162009.4836586,0.41843971631205673
168,27.0,0.09488682129297998,0.05816171809035328,0.0033705564135374493,0.002319498342181224,17269746914.768475,0.4462934947049924
169,56.0,0.1460914406010602,0.05833032923182653,0.006331874748492021,0.02749517130874091,40917060080.20732,0.5267857142857143
