protein,degree,eigenvector,katz,page rank,betweenness,subgraph,closeness
YLR295C,19.0,0.00032672029208262275,0.005203588807967255,0.0001260803742860103,2.3636099788931155e-05,1.3008948545629377e+87,0.2516755573792915
YLR393W,10.0,0.0001283986966909493,0.00483354273163629,0.00011674257951096697,0.00027212003350788493,2.009280827019454e+86,0.2447785020619928
YML081C-A,18.0,0.0003253939885933112,0.005177290287346419,0.0001202015635159985,1.825214134145014e-05,1.2903694359998233e+87,0.25312972898610536
YPR155C,8.0,7.835324426260916e-06,0.004692053476282142,0.0001452823443432283,0.000607739390919373,7.48566232338938e+83,0.22280524722502523
YDR298C,131.0,0.020510281233551683,0.022753686541374867,0.0004743344215454535,0.0047516214633906454,5.125794917317465e+90,0.3106009453072249
YBR039W,122.0,0.014277424148833633,0.017935696925460244,0.0005156473455129724,0.003978283688004532,2.483739807515347e+90,0.3090532444991882
YDR377W,21.0,0.00033443426751687334,0.005260327822647682,0.00013523074667373068,2.9259652299179254e-06,1.3630380046583912e+87,0.2518592873112196
YJR121W,83.0,0.0028165380065226175,0.008506981133668,0.0004833008658737907,0.004984810536066376,9.666164618555521e+88,0.30976430976430974
YOL077W-A,17.0,0.00032320091819161133,0.005151774297860108,0.00013268380289146366,0.00038493696277441797,1.273035510262777e+87,0.2504764497685815
YKL016C,45.0,0.0006080037474311705,0.006014789555763674,0.00025943777171273484,0.00033525780661028203,4.503574108487427e+87,0.27624862376138526
YDR322C-A,19.0,0.00032515654198030656,0.005198897055928197,0.0001325144969262621,9.86546269181712e-05,1.2884785388993842e+87,0.25191675794085433
YPL271W,32.0,0.00035052439794167024,0.00549940608059568,0.00020530629238905073,5.7484389975170524e-05,1.4973645402871855e+87,0.2565294172320848
YDR350C,10.0,3.0477262194907543e-05,0.004751708568563491,0.00013996759561029964,0.00012022043126611106,1.1322456743875215e+85,0.23241126689402553
YJL180C,15.0,0.00014134860006939648,0.004960398737314155,0.0001330029360508727,0.00036284700139451375,2.43489494473904e+86,0.2608695652173913
YER154W,52.0,0.0038465765978786272,0.008536672052148957,0.00030219688136752553,0.003563284873667948,1.8033032291058352e+89,0.29002259233962063
YPL183W-A,177.0,0.03540805687373679,0.03478639507845578,0.0003583679753946408,0.0004899693599857293,1.5277224515541863e+91,0.3076923076923077
YHR026W,34.0,0.00033886892134907845,0.005521047692520501,0.00022812784038546224,0.0002985507685180905,1.3994586332717331e+87,0.2632206380239378
YNR036C,292.0,0.06440832733744802,0.0588073878576099,0.0005388249787882065,0.001678632139842948,5.054289142502076e+91,0.3214160940957261
YLR378C,202.0,0.043395679345694424,0.041124613180706156,0.0006139516493423585,0.011349583047847434,2.2946055986688018e+91,0.3143149982917663
YDR237W,256.0,0.060763813260243736,0.05519628711152545,0.0004652844589167994,0.0008450430045444195,4.498894513063291e+91,0.317259612621415
YBR011C,22.0,0.0006434443780275047,0.005491796024467821,0.00018043620233140016,0.0010727019781732636,5.045535397209278e+87,0.2793239550652768
YLR447C,25.0,0.00014499008405545818,0.005174032995987099,0.000181487927552873,0.00010120102136261932,2.56209368174962e+86,0.25477707006369427
YNR020C,18.0,0.00010441903527255897,0.004975917704196432,0.00018565111775375862,0.00039095146409283003,1.3293740520917193e+86,0.24536604880650753
YMR267W,16.0,0.00031790130382212164,0.005124301882660215,0.00012545700806711765,0.00016985228213148488,1.2316369281041733e+87,0.26047565118912797
YPR020W,33.0,0.0003607846289388679,0.005554401429109124,0.0002024805011947546,0.00010817025824077181,1.5861977754871716e+87,0.25921577835172577
YDL061C,258.0,0.06374702637497699,0.057407398217218346,0.00046478404969157956,0.00045691727869422237,4.951407268267496e+91,0.31935203934046863
YLL041C,69.0,0.00043130497051878283,0.006438582347614289,0.0004457820934997461,0.0023275346405986553,2.2659889318963813e+87,0.28380462724935734
YPL131W,345.0,0.07337678805420547,0.06639366174046316,0.0006840051414705215,0.0034786403513448146,6.559871466541893e+91,0.334484639156517
YMR158W,264.0,0.06242799106251719,0.05660939457760983,0.0005010742310371984,0.0010288392093462696,4.748671571947606e+91,0.31669535283993117
YPL234C,35.0,0.00034272646526113627,0.005548058160336474,0.00023399210412046665,0.0003082781495500581,1.4315019350485836e+87,0.2636858698767555
YNL178W,412.0,0.07797917449227652,0.07148419090336536,0.0009216341939887135,0.015462263265985163,7.407710186757067e+91,0.3469079939668175
